text,label
Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,1
"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.",1
Ibu pernah bekerja di grab indonesia,1
"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut",1
Pelayanan bus DAMRI sangat baik,1
Mau bikin postingan yang isinya mengedukasi customers gojek.,1
Ratusan rumah di medan terendam banjir,1
"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?",0
Sulit sekali mempercayai orang yang sudah pernah berkhianat,0
"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk",1
"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.",1
"Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada.",0
"Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies.",0
"Jika datang ke restoran ini sangat cocok pada sore dan malam hari, membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan",1
"Pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan, salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok, jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang.",1
Salah satu area kuliner yang cukup menggugah selera. Namun jadi bingung juga milihnya. Akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu-lagu nostalgia barat. Cukup direkomendasikan.,1
Untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang.,1
"Naik kereta jayabaya malang - jakarta berhenti di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka",1
Dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada 2018.,1
